direction,score,setup,reclaim,bars_since_flip,flip_time,event_time,entry_price,flip_level,protect_level,forecast_direction,forecast_score,atr_pct,stoch_d,recent_vix_spike,wait,flip_pos,event_pos,favorable_move_pct,adverse_move_pct,end_move_pct,bars_to_peak,favorable_move_atr,favorable_move_risk,stop_risk_pct,symbol,major_move_cutoff_pct,major_move,stoch_k
SELL,88.0,EARLY_FLIP,False,0,2026-03-16 00:30:00,2026-03-16 00:30:00,9.7152099609375,9.7152099609375,9.742387771606444,SELL,92.0,0.2023742772958228,,True,0,934,934,0.2500801010215236,7.993826724213754,-5.91381130084059,5,1.2357306687547367,0.8939574706997567,0.2797449646298836,AVAX-USD,3.0,False,70.66556392586551
SELL,80.0,EARLY_FLIP,False,0,2026-03-31 22:30:00,2026-03-31 22:30:00,81.06983184814453,81.05750274658203,82.22272491455078,SELL,89.44826695286547,0.5272297781603978,,False,0,2462,2462,0.24987801130906923,4.345902991581487,-3.7470596843492623,2,0.47394517847785417,0.1757107311133464,1.4220987513157604,SOL-USD,3.0,False,59.875925821687964
SELL,78.0,POST_FLIP_BREAKDOWN,True,2,2026-03-17 07:00:00,2026-03-17 07:30:00,4989.908203125,4993.22119140625,5001.04296875,SELL,88.87972327674561,0.09206220971334385,,False,2,480,482,0.24970320956399106,0.7011906453376796,-0.1172777242191564,60,2.7123312631914605,1.1190142080336782,0.22314570071703316,PAXG-USD,3.0,False,27.03791066242844
SELL,73.0,POST_FLIP_BREAKDOWN,True,2,2026-04-10 16:45:00,2026-04-10 17:15:00,1.293013095855713,1.2938106060028076,1.299608588218689,SELL,89.20463145572019,0.2773942174794806,,False,2,3399,3401,0.24936892550462914,2.2173348649989215,-0.18332967626662044,3,0.8989694441740677,0.48887523270735816,0.5100870504804279,DOT-USD,3.0,False,51.668154718991694
SELL,69.0,EARLY_FLIP,False,0,2026-05-05 03:15:00,2026-05-05 03:15:00,84.22000122070312,84.12000274658203,84.62000274658203,SELL,92.0,0.26206712303785157,,False,0,5745,5745,0.2493458577877981,1.2348621472967738,-1.1873664040676575,13,0.9514579886916373,0.524995708481947,0.474948373404413,SOL-USD,3.0,False,1.809237258814556
SELL,79.05112511759327,EARLY_FLIP,False,0,2026-03-14 19:30:00,2026-03-14 19:30:00,1.307241439819336,1.307241439819336,1.3102099895477295,SELL,75.25562558796634,0.1575547873237397,,False,0,626,626,0.24898923356838853,4.987517709386595,-2.7122445361709207,23,1.580334293852789,1.096458115813991,0.22708503861412285,NEAR-USD,3.0,False,57.034459395030346
SELL,78.0,POST_FLIP_BREAKDOWN,True,2,2026-04-24 23:00:00,2026-04-24 23:30:00,2313.97998046875,2317.360107421875,2331.070068359375,SELL,92.0,0.40949827084904067,,False,2,4768,4770,0.2489221952757853,0.6469360508509018,-0.2575632022664549,24,0.6078711755233495,0.33703804231368123,0.7385581567202241,ETH-USD,3.0,False,38.89096872706141
SELL,77.0,POST_FLIP_BREAKDOWN,True,1,2026-03-14 14:30:00,2026-03-14 14:45:00,5032.3896484375,5032.5107421875,5037.80029296875,SELL,92.0,0.03322713973756333,,False,1,222,223,0.24745947492095638,0.09501923768432112,0.22165980648405145,61,7.447510585486931,2.301597328760942,0.1075164069008437,PAXG-USD,3.0,False,28.210072417392794
SELL,69.0,EARLY_FLIP,False,0,2026-04-26 11:15:00,2026-04-26 11:15:00,0.323862761259079,0.3238623440265655,0.3240105807781219,SELL,85.91815778060682,0.03795556354943981,,False,0,4721,4721,0.24739047859530355,0.15052869546429012,0.0360263994830038,30,6.517897653477333,5.420161290324616,0.04564264149056111,TRX-USD,3.0,False,22.08564791832764
SELL,95.0,POST_FLIP_BREAKDOWN,True,1,2026-03-28 00:15:00,2026-03-28 00:30:00,608.5810546875,609.0248413085938,610.8793334960938,SELL,92.0,0.24398990878454507,,False,1,2085,2086,0.24702657468785452,0.8509785184864255,-0.4695219893868133,1,1.0124458667919376,0.6541229584384542,0.377645473990953,BNB-USD,3.0,False,87.33567160244449
